team_name,avg_starter_mins,avg_bench_mins,games_played,exported_at
Atlanta Dream,31.40,8.17,30,2026-08-06T21:15:53.937879
Chicago Sky,26.14,15.26,31,2026-08-06T21:15:53.937879
Connecticut Sun,24.76,14.27,30,2026-08-06T21:15:53.937879
Dallas Wings,28.92,11.19,31,2026-08-06T21:15:53.937879
Golden State Valkyries,24.20,14.91,30,2026-08-06T21:15:53.937879
Indiana Fever,26.00,13.69,30,2026-08-06T21:15:53.937879
Las Vegas Aces,27.78,14.87,30,2026-08-06T21:15:53.937879
Los Angeles Sparks,29.79,10.99,29,2026-08-06T21:15:53.937879
Minnesota Lynx,29.54,11.66,31,2026-08-06T21:15:53.937879
New York Liberty,28.16,13.05,32,2026-08-06T21:15:53.937879
Phoenix Mercury,28.81,13.35,32,2026-08-06T21:15:53.937879
Portland Fire,25.81,13.34,30,2026-08-06T21:15:53.937879
Seattle Storm,26.99,13.41,33,2026-08-06T21:15:53.937879
Toronto Tempo,28.02,12.65,30,2026-08-06T21:15:53.937879
Washington Mystics,28.03,12.83,29,2026-08-06T21:15:53.937879
